Hs.egID	gene.symbol	gene.alias	OMIM.ID	OMIM.name	info	gene.description	gene.type
50	ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	100850	?Optic atrophy 9, 616289 (3);Infantile cerebellar-retinal degeneration, 614559 (3)	MIM:100850|HGNC:HGNC:118|Ensembl:ENSG00000100412|Vega:OTTHUMG00000030544	aconitase 2	protein-coding
192142	RLS1	RLS	102300	{Restless legs syndrome 1} (2)	MIM:102300	Restless legs syndrome, susceptibility to	unknown
49	ACR		102480	?Male infertility due to acrosin deficiency (2)	MIM:102480|HGNC:HGNC:126|Ensembl:ENSG00000100312|Vega:OTTHUMG00000150155	acrosin	protein-coding
414058	ACRPV		102510	Acropectorovertebral dysplasia (2)	MIM:102510	Acropectorovertebral dysplasia (F syndrome)	unknown
70	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	102540	Atrial septal defect 5, 612794 (3);Cardiomyopathy, dilated, 1R, 613424 (3);Cardiomyopathy, hypertrophic, 11, 612098 (3);Left ventricular noncompaction 4, 613424 (3)	MIM:102540|HGNC:HGNC:143|Ensembl:ENSG00000159251|Vega:OTTHUMG00000129675	actin, alpha, cardiac muscle 1	protein-coding
72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM	102545	Visceral myopathy, 155310 (3)	MIM:102545|HGNC:HGNC:145|Ensembl:ENSG00000163017|Vega:OTTHUMG00000129813	actin, gamma 2, smooth muscle, enteric	protein-coding
71	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	102560	Baraitser-Winter syndrome 2, 614583 (3);Deafness, autosomal dominant 20/26, 604717 (3)	MIM:102560|HGNC:HGNC:144|Ensembl:ENSG00000184009|Vega:OTTHUMG00000177955	actin gamma 1	protein-coding
2318	FLNC	ABP-280|ABP280A|ABPA|ABPL|CMH26|FLN2|MFM5|MPD4|RCM5	102565	Cardiomyopathy, familial hypertrophic, 26 (3);Cardiomyopathy, familial restrictive 5, 617047 (3);Myopathy, distal, 4, 614065 (3);Myopathy, myofibrillar, 5, 609524 (3)	MIM:102565|HGNC:HGNC:3756|Ensembl:ENSG00000128591|Vega:OTTHUMG00000023627	filamin C	protein-coding
88	ACTN2	CMD1AA|CMH23	102573	Cardiomyopathy, dilated, 1AA, with or without LVNC, 612158 (3);Cardiomyopathy, hypertrophic, 23, with or without LVNC, 612158 (3)	MIM:102573|HGNC:HGNC:164|Ensembl:ENSG00000077522|Vega:OTTHUMG00000040059	actinin alpha 2	protein-coding
89	ACTN3	ACTN3D	102574	[Alpha-actinin-3 deficiency], 617749 (3);[Sprinting performance], 617749 (3)	MIM:102574|HGNC:HGNC:165|Ensembl:ENSG00000248746|Vega:OTTHUMG00000160815	actinin alpha 3 (gene/pseudogene)	protein-coding
87	ACTN1	BDPLT15	102575	Bleeding disorder, platelet-type, 15, 615193 (3)	MIM:102575|HGNC:HGNC:163|Ensembl:ENSG00000072110|Vega:OTTHUMG00000171386	actinin alpha 1	protein-coding
90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	102576	Fibrodysplasia ossificans progressiva, 135100 (3)	MIM:102576|HGNC:HGNC:171|Ensembl:ENSG00000115170|Vega:OTTHUMG00000131967	activin A receptor type 1	protein-coding
5371	PML	MYL|PP8675|RNF71|TRIM19	102578	Leukemia, acute promyelocytic, PML/RARA type (3)	MIM:102578|HGNC:HGNC:9113|Ensembl:ENSG00000140464|Vega:OTTHUMG00000137607	promyelocytic leukemia	protein-coding
6774	STAT3	ADMIO|ADMIO1|APRF|HIES	102582	Autoimmune disease, multisystem, infantile-onset, 1, 615952 (3);Hyper-IgE recurrent infection syndrome, 147060 (3)	MIM:102582|HGNC:HGNC:11364|Ensembl:ENSG00000168610|Vega:OTTHUMG00000150645	signal transducer and activator of transcription 3	protein-coding
353	APRT	AMP|APRTD	102600	Adenine phosphoribosyltransferase deficiency, 614723 (3)	MIM:102600|HGNC:HGNC:626|Ensembl:ENSG00000198931|Vega:OTTHUMG00000175454	adenine phosphoribosyltransferase	protein-coding
58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM	102610	?Myopathy, scapulohumeroperoneal, 616852 (3);Myopathy, actin, congenital, with cores, 161800 (3);Myopathy, actin, congenital, with excess of thin myofilaments, 161800 (3);Myopathy, congenital, with fiber-type disproportion 1, 255310 (3);Nemaline myopathy 3, autosomal dominant or recessive, 161800 (3)	MIM:102610|HGNC:HGNC:129|Ensembl:ENSG00000143632|Vega:OTTHUMG00000038006	actin, alpha 1, skeletal muscle	protein-coding
59	ACTA2	ACTSA	102620	Aortic aneurysm, familial thoracic 6, 611788 (3);Moyamoya disease 5, 614042 (3);Multisystemic smooth muscle dysfunction syndrome, 613834 (3)	MIM:102620|HGNC:HGNC:130|Ensembl:ENSG00000107796|Vega:OTTHUMG00000018700	actin, alpha 2, smooth muscle, aorta	protein-coding
60	ACTB	BRWS1|PS1TP5BP1	102630	?Dystonia, juvenile-onset, 607371 (3);Baraitser-Winter syndrome 1, 243310 (3)	MIM:102630|HGNC:HGNC:132|Ensembl:ENSG00000075624|Vega:OTTHUMG00000023268	actin beta	protein-coding
118	ADD1	ADDA	102680	{Hypertension, essential, salt-sensitive}, 145500 (3)	MIM:102680|HGNC:HGNC:243|Ensembl:ENSG00000087274|Vega:OTTHUMG00000122080	adducin 1	protein-coding
132	ADK	AK	102750	Hypermethioninemia due to adenosine kinase deficiency, 614300 (3)	MIM:102750|HGNC:HGNC:257|Ensembl:ENSG00000156110|Vega:OTTHUMG00000018506	adenosine kinase	protein-coding
270	AMPD1	MAD|MADA|MMDD	102770	Myopathy due to myoadenylate deaminase deficiency, 615511 (3)	MIM:102770|HGNC:HGNC:468|Ensembl:ENSG00000116748|Vega:OTTHUMG00000011892	adenosine monophosphate deaminase 1	protein-coding
271	AMPD2	PCH9|SPG63	102771	?Spastic paraplegia 63, 615686 (3);Pontocerebellar hypoplasia, type 9, 615809 (3)	MIM:102771|HGNC:HGNC:469|Ensembl:ENSG00000116337|Vega:OTTHUMG00000011649	adenosine monophosphate deaminase 2	protein-coding
272	AMPD3		102772	[AMP deaminase deficiency, erythrocytic], 612874 (3)	MIM:102772|HGNC:HGNC:470|Ensembl:ENSG00000133805|Vega:OTTHUMG00000165682	adenosine monophosphate deaminase 3	protein-coding
203	AK1	HTL-S-58j	103000	Hemolytic anemia due to adenylate kinase deficiency, 612631 (3)	MIM:103000|HGNC:HGNC:361|Ensembl:ENSG00000106992|Vega:OTTHUMG00000020722	adenylate kinase 1	protein-coding
204	AK2	ADK2	103020	Reticular dysgenesis, 267500 (3)	MIM:103020|HGNC:HGNC:362|Ensembl:ENSG00000004455|Vega:OTTHUMG00000004131	adenylate kinase 2	protein-coding
107	ADCY1	AC1|DFNB44	103072	?Deafness, autosomal recessive 44, 610154 (3)	MIM:103072|HGNC:HGNC:232|Ensembl:ENSG00000164742|Vega:OTTHUMG00000155420	adenylate cyclase 1	protein-coding
291	SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	103220	Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD, 617184 (3);Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type) AR, 615418 (3);Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2, 609283 (3)	MIM:103220|HGNC:HGNC:10990|Ensembl:ENSG00000151729|Vega:OTTHUMG00000134299	solute carrier family 25 member 4	protein-coding
2232	FDXR	ADXR|ANOA	103270	Auditory neuropathy and optic atrophy, 617717 (3)	MIM:103270|HGNC:HGNC:3642|Ensembl:ENSG00000161513|Vega:OTTHUMG00000179026	ferredoxin reductase	protein-coding
283120	H19	ASM|ASM1|BWS|D11S813E|LINC00008|NCRNA00008|WT2	103280	Beckwith-Wiedemann syndrome, 130650 (3);Silver-Russell syndrome, 180860 (3);Wilms tumor 2, 194071 (3)	MIM:103280|HGNC:HGNC:4713|Ensembl:ENSG00000130600	H19, imprinted maternally expressed transcript (non-protein coding)	ncRNA
375790	AGRN	AGRIN|CMS8|CMSPPD	103320	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3)	MIM:103320|HGNC:HGNC:329|Ensembl:ENSG00000188157|Vega:OTTHUMG00000040778	agrin	protein-coding
213	ALB	HSA|PRO0883|PRO0903|PRO1341	103600	Analbuminemia, 616000 (3);[Dysalbuminemic hyperthyroxinemia], 615999 (3)	MIM:103600|HGNC:HGNC:399|Ensembl:ENSG00000163631|Vega:OTTHUMG00000129919	albumin	protein-coding
125	ADH1B	ADH2|HEL-S-117	103720	{Aerodigestive tract cancer, squamous cell, alcohol-related, protection against} (3);{Alcohol dependence, protection against}, 103780 (3)	MIM:103720|HGNC:HGNC:250|Ensembl:ENSG00000196616|Vega:OTTHUMG00000161413	alcohol dehydrogenase 1B (class I), beta polypeptide	protein-coding
126	ADH1C	ADH3	103730	{Alcohol dependence, protection against}, 103780 (3);{Parkinson disease, susceptibility to}, 168600 (3)	MIM:103730|HGNC:HGNC:251|Ensembl:ENSG00000248144|Vega:OTTHUMG00000161422	alcohol dehydrogenase 1C (class I), gamma polypeptide	protein-coding
226	ALDOA	ALDA|GSD12|HEL-S-87p	103850	Glycogen storage disease XII, 611881 (3)	MIM:103850|HGNC:HGNC:414|Ensembl:ENSG00000149925|Vega:OTTHUMG00000132107	aldolase, fructose-bisphosphate A	protein-coding
2	A2M	A2MD|CPAMD5|FWP007|S863-7	103950	Alpha-2-macroglobulin deficiency, 614036 (1);{Alzheimer disease, susceptibility to}, 104300 (3)	MIM:103950|HGNC:HGNC:7|Ensembl:ENSG00000175899|Vega:OTTHUMG00000150267	alpha-2-macroglobulin	protein-coding
100034700	AA1		104000	Alopecia areata 1 (2)	MIM:104000	Alopecia areata 1	unknown
174	AFP	AFPD|FETA|HPAFP	104150	Alpha-fetoprotein deficiency, 615969 (3);[Hereditary persistence of alpha-fetoprotein], 615970 (3)	MIM:104150|HGNC:HGNC:317|Ensembl:ENSG00000081051|Vega:OTTHUMG00000130011	alpha fetoprotein	protein-coding
463	ZFHX3	ATBF1|ATBT|ZNF927	104155	{Prostate cancer, susceptibility to, somatic}, 176807 (3)	MIM:104155|HGNC:HGNC:777|Ensembl:ENSG00000140836|Vega:OTTHUMG00000137599	zinc finger homeobox 3	protein-coding
23193	GANAB	G2AN|GIIA|GLUII|PKD3	104160	Polycystic kidney disease 3, 600666 (3)	MIM:104160|HGNC:HGNC:4138|Ensembl:ENSG00000089597|Vega:OTTHUMG00000167696	glucosidase II alpha subunit	protein-coding
4668	NAGA	D22S674|GALB	104170	Kanzaki disease, 609242 (3);Schindler disease, type I, 609241 (3);Schindler disease, type III, 609241 (3)	MIM:104170|HGNC:HGNC:7631|Ensembl:ENSG00000198951|Vega:OTTHUMG00000151276	alpha-N-acetylgalactosaminidase	protein-coding
4043	LRPAP1	A2MRAP|A2RAP|HBP44|MRAP|MYP23|RAP|alpha-2-MRAP	104225	Myopia 23, autosomal recessive, 615431 (3)	MIM:104225|HGNC:HGNC:6701|Ensembl:ENSG00000163956|Vega:OTTHUMG00000090299	LDL receptor related protein associated protein 1	protein-coding
152	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	104250	{Congestive heart failure and beta-blocker response, modifier of} (3)	MIM:104250|HGNC:HGNC:283|Ensembl:ENSG00000184160|Vega:OTTHUMG00000159830	adrenoceptor alpha 2C	protein-coding
151	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	104260	Epilepsy, myoclonic, familial adult, 2, 607876 (3)	MIM:104260|HGNC:HGNC:282|Ensembl:ENSG00000274286|Vega:OTTHUMG00000188276	adrenoceptor alpha 2B	protein-coding
5663	PSEN1	ACNINV3|AD3|FAD|PS-1|PS1|S182	104311	?Acne inversa, familial, 3, 613737 (3);Alzheimer disease, type 3, 607822 (3);Alzheimer disease, type 3, with spastic paraparesis and apraxia, 607822 (3);Alzheimer disease, type 3, with spastic paraparesis and unusual plaques, 607822 (3);Cardiomyopathy, dilated, 1U, 613694 (3);Dementia, frontotemporal, 600274 (3);Pick disease, 172700 (3)	MIM:104311|HGNC:HGNC:9508|Ensembl:ENSG00000080815|Vega:OTTHUMG00000141279	presenilin 1	protein-coding
6519	SLC3A1	ATR1|CSNU1|D2H|NBAT|RBAT	104614	Cystinuria, 220100 (3)	MIM:104614|HGNC:HGNC:11025|Ensembl:ENSG00000138079|Vega:OTTHUMG00000128759	solute carrier family 3 member 1	protein-coding
95	ACY1	ACY-1|ACY1D|HEL-S-5	104620	Aminoacylase 1 deficiency, 609924 (3)	MIM:104620|HGNC:HGNC:177|Ensembl:ENSG00000243989|Vega:OTTHUMG00000157815	aminoacylase 1	protein-coding
351	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|preA4	104760	Alzheimer disease 1, familial, 104300 (3);Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants, 605714 (3)	MIM:104760|HGNC:HGNC:620|Ensembl:ENSG00000142192|Vega:OTTHUMG00000078438	amyloid beta precursor protein	protein-coding
325	APCS	HEL-S-92n|PTX2|SAP	104770	{?Amyloidosis, secondary, susceptibility to} (1)	MIM:104770|HGNC:HGNC:584|Ensembl:ENSG00000132703|Vega:OTTHUMG00000022741	amyloid P component, serum	protein-coding
8066	ANC		105580	?Anal canal carcinoma (2)	MIM:105580	Anal canal carcinoma	unknown
238	ALK	CD246|NBLST3	105590	{Neuroblastoma, susceptibility to, 3}, 613014 (3)	MIM:105590|HGNC:HGNC:427|Ensembl:ENSG00000171094|Vega:OTTHUMG00000152034	ALK receptor tyrosine kinase	protein-coding
981	CDAN3	CDA3|CDAIII	105600	Dyserythropoietic anemia, congenital, type III (2)	MIM:105600|HGNC:HGNC:1715	congenital dyserythropoietic anemia, type III	unknown
116833	ANIB1	AIB|AIB1	105800	Aneurysm, intracranial berry, 1 (2)	MIM:105800|HGNC:HGNC:17627	aneurysm, intracranial berry 1	unknown
283	ANG	ALS9|HEL168|RAA1|RNASE4|RNASE5	105850	Amyotrophic lateral sclerosis 9, 611895 (3)	MIM:105850|HGNC:HGNC:483|Ensembl:ENSG00000214274|Vega:OTTHUMG00000029576	angiogenin	protein-coding
183	AGT	ANHU|SERPINA8|hFLT1	106150	Renal tubular dysgenesis, 267430 (3);{Hypertension, essential, susceptibility to}, 145500 (3);{Preeclampsia, susceptibility to} (3)	MIM:106150|HGNC:HGNC:333|Ensembl:ENSG00000135744|Vega:OTTHUMG00000037757	angiotensinogen	protein-coding
185	AGTR1	AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R	106165	Renal tubular dysgenesis, 267430 (3);{Hypertension, essential}, 145500 (3)	MIM:106165|HGNC:HGNC:336|Ensembl:ENSG00000144891|Vega:OTTHUMG00000159503	angiotensin II receptor type 1	protein-coding
1636	ACE	ACE1|CD143|DCP|DCP1	106180	Renal tubular dysgenesis, 267430 (3);[Angiotensin I-converting enzyme, benign serum increase] (3);{Microvascular complications of diabetes 3}, 612624 (3);{Myocardial infarction, susceptibility to} (3);{SARS, progression of} (3);{Stroke, hemorrhagic}, 614519 (3)	MIM:106180|HGNC:HGNC:2707|Ensembl:ENSG00000159640|Vega:OTTHUMG00000154927	angiotensin I converting enzyme	protein-coding
287	ANK2	ANK-2|LQT4|brank-2	106410	Cardiac arrhythmia, ankyrin-B-related, 600919 (3);Long QT syndrome 4, 600919 (3)	MIM:106410|HGNC:HGNC:493|Ensembl:ENSG00000145362|Vega:OTTHUMG00000132912	ankyrin 2	protein-coding
6893	TAPVR1	APVR|TAPVR	106700	Total anomalous pulmonary venous return (2)	MIM:106700|HGNC:HGNC:11567	total anomalous pulmonary venous return 1	unknown
550625	ANIC		107200	Anosmia, isolated congenital (2)	MIM:107200	Anosmia, isolated congenital	unknown
930	CD19	B4|CVID3	107265	Immunodeficiency, common variable, 3, 613493 (3)	MIM:107265|HGNC:HGNC:1633|Ensembl:ENSG00000177455|Vega:OTTHUMG00000097049	CD19 molecule	protein-coding
960	CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	107269	[Blood group, Indian system], 609027 (3)	MIM:107269|HGNC:HGNC:1681|Ensembl:ENSG00000026508|Vega:OTTHUMG00000044388	CD44 molecule (Indian blood group)	protein-coding
966	CD59	16.3A5|1F5|EJ16|EJ30|EL32|G344|HRF-20|HRF20|MAC-IP|MACIF|MEM43|MIC11|MIN1|MIN2|MIN3|MIRL|MSK21|p18-20	107271	Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy, 612300 (3)	MIM:107271|HGNC:HGNC:1689|Ensembl:ENSG00000085063|Vega:OTTHUMG00000166270	CD59 molecule (CD59 blood group)	protein-coding
12	SERPINA3	AACT|ACT|GIG24|GIG25	107280	Alpha-1-antichymotrypsin deficiency (3);Cerebrovascular disease, occlusive (3)	MIM:107280|HGNC:HGNC:16|Ensembl:ENSG00000196136|Vega:OTTHUMG00000029851	serpin family A member 3	protein-coding
462	SERPINC1	AT3|AT3D|ATIII|THPH7	107300	Thrombophilia due to antithrombin III deficiency, 613118 (3)	MIM:107300|HGNC:HGNC:775|Ensembl:ENSG00000117601|Vega:OTTHUMG00000037276	serpin family C member 1	protein-coding
6548	SLC9A1	APNH|LIKNS|NHE-1|NHE1|PPP1R143	107310	?Lichtenstein-Knorr syndrome, 616291 (3)	MIM:107310|HGNC:HGNC:11071|Ensembl:ENSG00000090020|Vega:OTTHUMG00000004271	solute carrier family 9 member A1	protein-coding
100499532	ATPLS		107320	?Antiphospholipid syndrome, familial (2)	MIM:107320	antiphospholipid syndrome, familial	unknown
501	ALDH7A1	ATQ1|EPD|PDE	107323	Epilepsy, pyridoxine-dependent, 266100 (3)	MIM:107323|HGNC:HGNC:877|Ensembl:ENSG00000164904|Vega:OTTHUMG00000128942	aldehyde dehydrogenase 7 family member A1	protein-coding
5265	SERPINA1	A1A|A1AT|AAT|PI|PI1|PRO2275|alpha1AT|nNIF	107400	Emphysema due to AAT deficiency, 613490 (3);Emphysema-cirrhosis, due to AAT deficiency, 613490 (3);Hemorrhagic diathesis due to antithrombin Pittsburgh, 613490 (3);{Pulmonary disease, chronic obstructive, susceptibility to}, 606963 (1)	MIM:107400|HGNC:HGNC:8941|Ensembl:ENSG00000197249|Vega:OTTHUMG00000150355	serpin family A member 1	protein-coding
3459	IFNGR1	CD119|IFNGR|IMD27A|IMD27B	107470	Immunodeficiency 27A, mycobacteriosis, AR, 209950 (3);Immunodeficiency 27B, mycobacteriosis, AD, 615978 (3);{H. pylori infection, susceptibility to}, 600263 (3);{Hepatitis B virus infection, susceptibility to}, 610424 (3);{Tuberculosis infection, protection against}, 607948 (3);{Tuberculosis, susceptibility to}, 607948 (3)	MIM:107470|HGNC:HGNC:5439|Ensembl:ENSG00000027697|Vega:OTTHUMG00000015656	interferon gamma receptor 1	protein-coding
7020	TFAP2A	AP-2|AP-2alpha|AP2TF|BOFS|TFAP2	107580	Branchiooculofacial syndrome, 113620 (3)	MIM:107580|HGNC:HGNC:11742|Ensembl:ENSG00000137203|Vega:OTTHUMG00000014235	transcription factor AP-2 alpha	protein-coding
336	APOA2	Apo-AII|ApoA-II|apoAII	107670	Apolipoprotein A-II deficiency (3);{Hypercholesterolemia, familial, modifier of}, 143890 (3)	MIM:107670|HGNC:HGNC:601|Ensembl:ENSG00000158874|Vega:OTTHUMG00000034346	apolipoprotein A2	protein-coding
335	APOA1	apo(a)	107680	Amyloidosis, 3 or more types, 105200 (3);ApoA-I and apoC-III deficiency, combined (3);Corneal clouding, autosomal recessive (3);Hypoalphalipoproteinemia, 604091 (3)	MIM:107680|HGNC:HGNC:600|Ensembl:ENSG00000118137|Vega:OTTHUMG00000046112	apolipoprotein A1	protein-coding
345	APOC3	APOCIII	107720	Apolipoprotein C-III deficiency, 614028 (3)	MIM:107720|HGNC:HGNC:610|Ensembl:ENSG00000110245|Vega:OTTHUMG00000046115	apolipoprotein C3	protein-coding
338	APOB	FLDB|LDLCQ4|apoB-100|apoB-48	107730	Hypercholesterolemia, due to ligand-defective apo B, 144010 (3);Hypobetalipoproteinemia, 615558 (3)	MIM:107730|HGNC:HGNC:603|Ensembl:ENSG00000084674|Vega:OTTHUMG00000090785	apolipoprotein B	protein-coding
348	APOE	AD2|APO-E|ApoE4|LDLCQ5|LPG	107741	Alzheimer disease-2, 104310 (3);Hyperlipoproteinemia, type III, 617347 (3);Lipoprotein glomerulopathy, 611771 (3);Sea-blue histiocyte disease, 269600 (3);{?Macular degeneration, age-related}, 603075 (3);{Coronary artery disease, severe, susceptibility to}, 617347 (3)	MIM:107741|HGNC:HGNC:613|Ensembl:ENSG00000130203|Vega:OTTHUMG00000128901	apolipoprotein E	protein-coding
4035	LRP1	A2MR|APOER|APR|CD91|IGFBP-3R|IGFBP3R|IGFBP3R1|KPA|LRP|LRP1A|TGFBR5	107770	?Keratosis pilaris atrophicans, 604093 (3)	MIM:107770|HGNC:HGNC:6692|Ensembl:ENSG00000123384|Vega:OTTHUMG00000044412	LDL receptor related protein 1	protein-coding
7026	NR2F2	ARP1|CHTD4|COUPTFB|COUPTFII|NF-E3|NR2F1|SVP40|TFCOUP2	107773	Congenital heart defects, multiple types, 4, 615779 (3)	MIM:107773|HGNC:HGNC:7976|Ensembl:ENSG00000185551|Vega:OTTHUMG00000149848	nuclear receptor subfamily 2 group F member 2	protein-coding
358	AQP1	AQP-CHIP|CHIP28|CO	107776	[Aquaporin-1 deficiency], 110450 (3);[Blood group, Colton], 110450 (3)	MIM:107776|HGNC:HGNC:633|Ensembl:ENSG00000240583|Vega:OTTHUMG00000023944	aquaporin 1 (Colton blood group)	protein-coding
359	AQP2	AQP-CD|WCH-CD	107777	Diabetes insipidus, nephrogenic, 125800 (3)	MIM:107777|HGNC:HGNC:634|Ensembl:ENSG00000167580|Vega:OTTHUMG00000169709	aquaporin 2	protein-coding
5917	RARS	ArgRS|DALRD1|HLD9	107820	Leukodystrophy, hypomyelinating, 9, 616140 (3)	MIM:107820|HGNC:HGNC:9870|Ensembl:ENSG00000113643|Vega:OTTHUMG00000130411	arginyl-tRNA synthetase	protein-coding
1588	CYP19A1	ARO|ARO1|CPV1|CYAR|CYP19|CYPXIX|P-450AROM	107910	Aromatase deficiency, 613546 (3);Aromatase excess syndrome, 139300 (3)	MIM:107910|HGNC:HGNC:2594|Ensembl:ENSG00000137869|Vega:OTTHUMG00000131747	cytochrome P450 family 19 subfamily A member 1	protein-coding
1644	DDC	AADC	107930	Aromatic L-amino acid decarboxylase deficiency, 608643 (3)	MIM:107930|HGNC:HGNC:2719|Ensembl:ENSG00000132437|Vega:OTTHUMG00000023353	dopa decarboxylase	protein-coding
440	ASNS	ASNSD|TS11	108370	Asparagine synthetase deficiency, 615574 (3)	MIM:108370|HGNC:HGNC:753|Ensembl:ENSG00000070669|Vega:OTTHUMG00000022892	asparagine synthetase (glutamine-hydrolyzing)	protein-coding
100653377	SPGF2	ASG	108420	Spermatogenic failure 2 (2)	MIM:108420	Spermatogenic failure	unknown
470	ATHS	ALP	108725	{Atherosclerosis, susceptibility to} (2)	MIM:108725|HGNC:HGNC:793	atherosclerosis susceptibility (lipoprotein associated)	unknown
487	ATP2A1	ATP2A|SERCA1	108730	Brody myopathy, 601003 (3)	MIM:108730|HGNC:HGNC:811|Ensembl:ENSG00000196296|Vega:OTTHUMG00000131760	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	protein-coding
491	ATP2B2	PMCA2|PMCA2a|PMCA2i	108733	{Deafness, autosomal recessive 12, modifier of}, 601386 (3)	MIM:108733|HGNC:HGNC:815|Ensembl:ENSG00000157087|Vega:OTTHUMG00000128679	ATPase plasma membrane Ca2+ transporting 2	protein-coding
